file,text,duration
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/8.wav,đó là đường chuyền dài của florenxi,2.700125
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/10.wav,chúng ta vừa được theo dõi lại nỗ lực của chillie mobile,3.0000625
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/20.wav,cú đánh đầu là của imobile sau đường chuyền tốt của domerico bolerani,5.94
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/25.wav,nếu như bên phía đội tuyển thổ nhĩ kỳ ông senon gurrez đã bất ngờ thay ra một cầu thủ là yya jixi,9.821
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/38.wav,cơ hội,0.9
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/45.wav,một đường chuyền cắt nhanh của janpiere,2.52
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-1ErNklzros/54.wav,cho cầu thủ của đối phương và rồi một tác phẩm nghệ thuật khác đã được tạo ra tại sân ironipico lần này thì cú bẻ lòng của isignye không chê vào đâu được anh đã thực hiện những cú đá như thế này rất nhiều từ đầu trận tới giờ,14.76
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/6.wav,brazil một đức bảy hai chữ số chình ình trên khắp mặt báo thể thao thế giới sau trận đấu gây sốc nhất hè năm hai nghìn mười bốn trang bìa tờ folha de spaulo khiến người xem rùng mình bằng dòng tiêu đề lạnh ngắt brazil chi mười một tỷ đôla cho thảm họa quốc gia,14.9515
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/8.wav,giống như tiếng nhạc we are one của pitbull với jennifer lopez ở mùa world cup hai nghìn mười bốn vang lên người hâm mộ trên khán đài vẫn ngân vang waka waka của bốn năm trước đó sự ngượng ngạo đã được báo trước chỉ là người brazil vẫn đang mải mê nhảy điệu samba,14.683
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/22.wav,neymar òa khóc đau đớn sau gục ngã trên sân sau pha lên gối mang tính triệt hạ của zuniga ở những phút cuối trận tứ kết dốc cạn vốn liếng để vào đến bán kết brazil lấy gì để thằng đức,11.268
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/24.wav,julio cesar đã qua thời kỳ đỉnh cao anh đến world cup sau nửa mùa giải ngồi dự bị ở khuôn queens park rangers thuộc giải hạng nhất anh dante được trám vào vị trí của trung vệ thiago silva người vắng mặt sau khi bị treo giò,12.147
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/47.wav,rồi cán cân quyền lực trong đội tuyển vàng xanh cũng có nhiều xáo trộn khi mà các siêu sao ở hàng phòng ngự ngày càng nổi danh với giá trị chuyển nhượng đắt đỏ thiago silva david luiz marcelo dani alves maicon nhưng xây dựng một đội tuyển vàng xanh máu lửa,14.366
/home/ndanh/STT_dataset/nghiem_thu_ytb_2022_02/split/-AtvzEuiNig/53.wav,luiz felipe scolari ngồi vào chiếc ghế nóng selecao với lý do tuyển brazil phải do người brazil huấn luyện số phận trêu ngươi thảm họa lớn nhất lịch sử bóng đá brazil ngày mùng tám tháng bảy năm hai nghìn mười bốn trên sân mineirao brazil thảm bại một bảy,14.293
